Test ID,easting__N,northing__,GWD (m),L (m),Slope (%),Elevation,Target,CM pred
51758,1574927.06,5184541.43,1.646983385,1351.091722,1.191033721,2.711253881,0,TN
9681,1574928.501,5183741.558,2.245238066,303.3131626,1.317296624,2.551160336,1,TP
34290,1574931.2,5184170.9,2.3279953,855.0379083,0.638592362,3.554817438,0,TN
27409,1574931.711,5184412.998,2.015258551,1178.611814,5.426413059,3.981245518,0,TN
27408,1574931.954,5184434.544,2.015258551,1207.746354,6.01913929,2.293718576,0,TN
25651,1574933.86,5183705.22,2.323823452,265.7612853,1.128026962,2.776781082,1,TP
5586,1574935.433,5184006.814,2.530613899,638.7629842,0.508934379,3.821938753,0,TN
4988,1574935.452,5184014.311,2.480471373,648.5964913,0.508934379,3.832450151,0,TN
17692,1574937.704,5183907.243,2.667224407,511.5400588,0.737047613,3.384168148,0,TN
34292,1574938,5184154.3,2.244434834,835.2895115,0.13307029,3.585575104,0,TN
30376,1574940.527,5183869.505,2.78908205,466.0882768,0.825027943,3.537120342,0,FP
